year,title,authors,author_data
2018,Attribute-aware Collaborative Filtering: Survey and Classification,"['https://www.semanticscholar.org/author/Shou-de-Lin/2818798', 'https://www.semanticscholar.org/author/Wen-Hao-Chen/3716488',  'https://www.semanticscholar.org/author/Mi-Yen-Yeh/39907129', 'https://www.semanticscholar.org/author/Chin-Chi-Hsu/2081791']","[{'Publications': '181', 'h-index': '24', 'Citations': '1,947', 'Highly Influential Citations': '108'}, {'Publications': '20', 'h-index': '8', 'Citations': '197', 'Highly Influential Citations': '10'}, {'Publications': '56', 'h-index': '14', 'Citations': '602', 'Highly Influential Citations': '52'}, {'Publications': '36', 'h-index': '11', 'Citations': '392', 'Highly Influential Citations': '12'}]"
2018,Continuous Propagation: Layer-Parallel Training,"['https://www.semanticscholar.org/author/Ilya-Sharapov/143627441', 'https://www.semanticscholar.org/author/Herman-Sahota/47366436', 'https://www.semanticscholar.org/author/Devansh-Arpit/2309967', 'https://www.semanticscholar.org/author/Michael-James/143660108']","[{'Publications': '22', 'h-index': '9', 'Citations': '969', 'Highly Influential Citations': '63'}, {'Publications': '9', 'h-index': '5', 'Citations': '113', 'Highly Influential Citations': '8'}, {'Publications': '42', 'h-index': '12', 'Citations': '950', 'Highly Influential Citations': '120'}, {'Publications': '175', 'h-index': '22', 'Citations': '1,588', 'Highly Influential Citations': '82'}]"
2018,Learning Topics using Semantic Locality,"['https://www.semanticscholar.org/author/Sheng-Lin/144225675', 'https://www.semanticscholar.org/author/Yanzhi-Wang/46395036', 'https://www.semanticscholar.org/author/Zhe-Li/38315753', 'https://www.semanticscholar.org/author/Qinru-Qiu/1862322', 'https://www.semanticscholar.org/author/Krittaphat-Pugdeethosapol/9091383', 'https://www.semanticscholar.org/author/Ziyi-Zhao/47122744']","[{'Publications': '268', 'h-index': '27', 'Citations': '2,941', 'Highly Influential Citations': '77'}, {'Publications': '262', 'h-index': '31', 'Citations': '3,939', 'Highly Influential Citations': '228'}, {'Publications': '194', 'h-index': '17', 'Citations': '1,216', 'Highly Influential Citations': '84'}, {'Publications': '184', 'h-index': '30', 'Citations': '3,023', 'Highly Influential Citations': '180'}, {'Publications': '5', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}, {'Publications': '35', 'h-index': '6', 'Citations': '100', 'Highly Influential Citations': '3'}]"
2018,Anticipatory Asynchronous Advantage Actor-Critic (A4C): The power of Anticipation in Deep Reinforcement Learning,"['https://www.semanticscholar.org/author/Xun-Luan/71204944', 'https://www.semanticscholar.org/author/Anshumali-Shrivastava/4260659', 'https://www.semanticscholar.org/author/Tharun-Medini/51491077']","[{'Publications': '2', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '102', 'h-index': '16', 'Citations': '1,205', 'Highly Influential Citations': '116'}, {'Publications': '13', 'h-index': '2', 'Citations': '6', 'Highly Influential Citations': '0'}]"
2018,Sparse Deep Scattering Croisé Network,"['https://www.semanticscholar.org/author/Randall-Balestriero/3201463', 'https://www.semanticscholar.org/author/Ankit-B.-Patel/46463998', 'https://www.semanticscholar.org/author/Richard-Baraniuk/144908066', 'https://www.semanticscholar.org/author/Romain-Cosentino/40125997']","[{'Publications': '39', 'h-index': '5', 'Citations': '119', 'Highly Influential Citations': '2'}, {'Publications': '30', 'h-index': '6', 'Citations': '385', 'Highly Influential Citations': '40'}, {'Publications': '663', 'h-index': '88', 'Citations': '34,070', 'Highly Influential Citations': '2,700'}, {'Publications': '13', 'h-index': '4', 'Citations': '26', 'Highly Influential Citations': '1'}]"
2018,Incremental Learning in Deep Convolutional Neural Networks Using Partial Network Sharing,"['https://www.semanticscholar.org/author/Syed-Shakib-Sarwar/32830876', 'https://www.semanticscholar.org/author/Kaushik-Roy/143884690', 'https://www.semanticscholar.org/author/Aayush-Ankit/3468125']","[{'Publications': '20', 'h-index': '10', 'Citations': '363', 'Highly Influential Citations': '27'}, {'Publications': '765', 'h-index': '76', 'Citations': '22,262', 'Highly Influential Citations': '1,551'}, {'Publications': '26', 'h-index': '9', 'Citations': '239', 'Highly Influential Citations': '11'}]"
2018,Bayesian Embeddings for Long-Tailed Datasets,"['https://www.semanticscholar.org/author/Victor-Fragoso/2245862', 'https://www.semanticscholar.org/author/Deva-Ramanan/1770537']","[{'Publications': '24', 'h-index': '8', 'Citations': '265', 'Highly Influential Citations': '20'}, {'Publications': '163', 'h-index': '61', 'Citations': '34,118', 'Highly Influential Citations': '5,373'}]"
2018,Deep Hyperspherical Defense against Adversarial Perturbations,"['https://www.semanticscholar.org/author/Bo-Dai/144445933', 'https://www.semanticscholar.org/author/Tuo-Zhao/36345161', 'https://www.semanticscholar.org/author/Le-Song/1779453', 'https://www.semanticscholar.org/author/Zhehui-Chen/9545488', 'https://www.semanticscholar.org/author/Zhen-Liu/46271093', 'https://www.semanticscholar.org/author/Weiyang-Liu/36326884']","[{'Publications': '15', 'h-index': '4', 'Citations': '42', 'Highly Influential Citations': '3'}, {'Publications': '109', 'h-index': '21', 'Citations': '2,952', 'Highly Influential Citations': '214'}, {'Publications': '329', 'h-index': '55', 'Citations': '10,105', 'Highly Influential Citations': '1,133'}, {'Publications': '14', 'h-index': '4', 'Citations': '46', 'Highly Influential Citations': '5'}, {'Publications': '217', 'h-index': '14', 'Citations': '679', 'Highly Influential Citations': '40'}, {'Publications': '62', 'h-index': '15', 'Citations': '2,127', 'Highly Influential Citations': '326'}]"
2018,FastNorm: Improving Numerical Stability of Deep Network Training with Efficient Normalization,"['https://www.semanticscholar.org/author/Sadhika-Malladi/34132695', 'https://www.semanticscholar.org/author/Ilya-Sharapov/143627441']","[{'Publications': '5', 'h-index': '3', 'Citations': '34', 'Highly Influential Citations': '0'}, {'Publications': '22', 'h-index': '9', 'Citations': '969', 'Highly Influential Citations': '63'}]"
2018,Do Convolutional Neural Networks act  as Compositional Nearest Neighbors?,"['https://www.semanticscholar.org/author/Deva-Ramanan/1770537', 'https://www.semanticscholar.org/author/Aayush-Bansal/3294630', 'https://www.semanticscholar.org/author/Chunhui-Liu/50557221', 'https://www.semanticscholar.org/author/Victor-Fragoso/2245862']","[{'Publications': '163', 'h-index': '61', 'Citations': '34,118', 'Highly Influential Citations': '5,373'}, {'Publications': '24', 'h-index': '8', 'Citations': '467', 'Highly Influential Citations': '39'}, {'Publications': '10', 'h-index': '1', 'Citations': '10', 'Highly Influential Citations': '1'}, {'Publications': '24', 'h-index': '8', 'Citations': '265', 'Highly Influential Citations': '20'}]"
