Dynamic Graph Message Passing Networks,"['https://www.semanticscholar.org/author/Li-Zhang/48459110', 'https://www.semanticscholar.org/author/Dan-Xu/144742695', 'https://www.semanticscholar.org/author/Anurag-Arnab/31638576', 'https://www.semanticscholar.org/author/Philip-H.-S.-Torr/143635540']","[{'Publications': '98', 'h-index': '9', 'Citations': '323', 'Highly Influential Citations': '23'}, {'Publications': '50', 'h-index': '5', 'Citations': '108', 'Highly Influential Citations': '6'}, {'Publications': '25', 'h-index': '11', 'Citations': '683', 'Highly Influential Citations': '59'}, {'Publications': '360', 'h-index': '87', 'Citations': '30,614', 'Highly Influential Citations': '3,973'}]"
POLYNOMIAL ACTIVATION FUNCTIONS,['https://www.semanticscholar.org/author/Vikas-Gottemukkula/3375878'],"[{'Publications': '11', 'h-index': '6', 'Citations': '124', 'Highly Influential Citations': '9'}]"
CopyCAT: Taking Control of Neural Policies with Constant Attacks,"['https://www.semanticscholar.org/author/Matthieu-Geist/50675536', 'https://www.semanticscholar.org/author/Olivier-Pietquin/79608109', ""https://www.semanticscholar.org/author/L'eonard-Hussenot/122562941""]","[{'Publications': '18', 'h-index': '3', 'Citations': '100', 'Highly Influential Citations': '7'}, {'Publications': '42', 'h-index': '6', 'Citations': '408', 'Highly Influential Citations': '50'}, {'Publications': '7', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}]"
Influence-aware Memory for Deep Reinforcement Learning,"['https://www.semanticscholar.org/author/Miguel-Suau/1429191192', 'https://www.semanticscholar.org/author/Rolf-Starre/74186242', 'https://www.semanticscholar.org/author/Elena-Congeduti/1419906049', 'https://www.semanticscholar.org/author/Aleksander-Czechowski/31396926', 'https://www.semanticscholar.org/author/Frans-A.-Oliehoek/1799949']","[{'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '2', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '2', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}, {'Publications': '23', 'h-index': '4', 'Citations': '42', 'Highly Influential Citations': '2'}, {'Publications': '113', 'h-index': '23', 'Citations': '1,794', 'Highly Influential Citations': '154'}]"
CurricularFace: Adaptive Curriculum Learning Loss for Deep Face Recognition,"['https://www.semanticscholar.org/author/Shao-xin-Li/12373817', 'https://www.semanticscholar.org/author/Feiyue-Huang/1835006', 'https://www.semanticscholar.org/author/Pengcheng-Shen/1774060', 'https://www.semanticscholar.org/author/Yuge-Huang/3541702', 'https://www.semanticscholar.org/author/Ying-Tai/144970872', 'https://www.semanticscholar.org/author/Jilin-Li/49298244', 'https://www.semanticscholar.org/author/Xiaoming-Liu/40134592']","[{'Publications': '4', 'h-index': '2', 'Citations': '7', 'Highly Influential Citations': '0'}, {'Publications': '84', 'h-index': '15', 'Citations': '726', 'Highly Influential Citations': '104'}, {'Publications': '12', 'h-index': '5', 'Citations': '161', 'Highly Influential Citations': '4'}, {'Publications': '12', 'h-index': '4', 'Citations': '76', 'Highly Influential Citations': '2'}, {'Publications': '52', 'h-index': '15', 'Citations': '1,797', 'Highly Influential Citations': '332'}, {'Publications': '35', 'h-index': '6', 'Citations': '134', 'Highly Influential Citations': '7'}, {'Publications': '24', 'h-index': '4', 'Citations': '58', 'Highly Influential Citations': '2'}]"
Compressive Hyperspherical Energy Minimization,"['https://www.semanticscholar.org/author/Rongmei-Lin/10035476', 'https://www.semanticscholar.org/author/Chen-Feng/144066717', 'https://www.semanticscholar.org/author/James-M.-Rehg/144177248', 'https://www.semanticscholar.org/author/Li-Xiong/145719374', 'https://www.semanticscholar.org/author/Zhen-Liu/144634488', 'https://www.semanticscholar.org/author/Zhiding-Yu/1751019', 'https://www.semanticscholar.org/author/Le-Song/1779453', 'https://www.semanticscholar.org/author/Weiyang-Liu/36326884']","[{'Publications': '11', 'h-index': '4', 'Citations': '65', 'Highly Influential Citations': '6'}, {'Publications': '25', 'h-index': '13', 'Citations': '1,011', 'Highly Influential Citations': '111'}, {'Publications': '302', 'h-index': '62', 'Citations': '16,263', 'Highly Influential Citations': '1,554'}, {'Publications': '139', 'h-index': '32', 'Citations': '4,582', 'Highly Influential Citations': '382'}, {'Publications': '112', 'h-index': '21', 'Citations': '1,409', 'Highly Influential Citations': '31'}, {'Publications': '66', 'h-index': '15', 'Citations': '2,618', 'Highly Influential Citations': '350'}, {'Publications': '329', 'h-index': '55', 'Citations': '10,105', 'Highly Influential Citations': '1,133'}, {'Publications': '62', 'h-index': '15', 'Citations': '2,127', 'Highly Influential Citations': '326'}]"
Testing Robustness Against Unforeseen Adversaries,"['https://www.semanticscholar.org/author/Daniel-Kang/48493356', 'https://www.semanticscholar.org/author/Tom-Brown/143889051', 'https://www.semanticscholar.org/author/Dan-Hendrycks/3422872', 'https://www.semanticscholar.org/author/Jacob-Steinhardt/5164568', 'https://www.semanticscholar.org/author/Yi-Sun/49697236']","[{'Publications': '22', 'h-index': '5', 'Citations': '129', 'Highly Influential Citations': '16'}, {'Publications': '27', 'h-index': '7', 'Citations': '386', 'Highly Influential Citations': '27'}, {'Publications': '27', 'h-index': '14', 'Citations': '1,622', 'Highly Influential Citations': '309'}, {'Publications': '58', 'h-index': '19', 'Citations': '2,405', 'Highly Influential Citations': '215'}, {'Publications': '95', 'h-index': '13', 'Citations': '673', 'Highly Influential Citations': '47'}]"
Reasoning-Aware Graph Convolutional Network for Visual Question Answering,"['https://www.semanticscholar.org/author/Chun-Yuan/144204924', 'https://www.semanticscholar.org/author/Yangyang-Cheng/150347046']","[{'Publications': '187', 'h-index': '18', 'Citations': '1,712', 'Highly Influential Citations': '78'}, {'Publications': '14', 'h-index': '4', 'Citations': '26', 'Highly Influential Citations': '0'}]"
Text Embedding Bank Module for Detailed Image Paragraph Caption,"['https://www.semanticscholar.org/author/Thomas-S.-Huang/153652776', 'https://www.semanticscholar.org/author/Arjun-Gupta/48668934', 'https://www.semanticscholar.org/author/Zengming-Shen/49019816']","[{'Publications': '33', 'h-index': '4', 'Citations': '1,088', 'Highly Influential Citations': '99'}, {'Publications': '14', 'h-index': '2', 'Citations': '9', 'Highly Influential Citations': '0'}, {'Publications': '12', 'h-index': '5', 'Citations': '223', 'Highly Influential Citations': '0'}]"
FNNP: Fast Neural Network Pruning Using Adaptive Batch Normalization,"['https://www.semanticscholar.org/author/Jiang-Su/144538027', 'https://www.semanticscholar.org/author/Bailin-Li/51473867', 'https://www.semanticscholar.org/author/Bowen-Wu/152365288', 'https://www.semanticscholar.org/author/Guangrun-Wang/2749191']","[{'Publications': '120', 'h-index': '17', 'Citations': '1,286', 'Highly Influential Citations': '115'}, {'Publications': '15', 'h-index': '2', 'Citations': '11', 'Highly Influential Citations': '1'}, {'Publications': '14', 'h-index': '1', 'Citations': '11', 'Highly Influential Citations': '0'}, {'Publications': '34', 'h-index': '12', 'Citations': '1,050', 'Highly Influential Citations': '67'}]"
