year,title,date,paper_links,author_links
2019,Iterative Binary Decisions,9/27/18,['https://www.semanticscholar.org/paper/Iterative-Binary-Decisions-Alaniz-Akata/0c766053218c128b93e8c2812e3b29442e5b6b3c'],"['https://www.semanticscholar.org/author/Stephan-Alaniz/40894329', 'https://www.semanticscholar.org/author/Zeynep-Akata/2893664']"
2019,What Is in a Translation Unit?  Comparing Character and Subword Representations Beyond Translation,9/27/18,['https://www.semanticscholar.org/paper/What-Is-in-a-Translation-Unit-Comparing-Character-Durrani-Dalvi/ce3af95d51355eb93b0e1ab9a5bf4fb18ce311d5'],"['https://www.semanticscholar.org/author/Preslav-Nakov/1683562', 'https://www.semanticscholar.org/author/Nadir-Durrani/145938140', 'https://www.semanticscholar.org/author/Hassan-Sajjad/145775792', 'https://www.semanticscholar.org/author/Fahim-Dalvi/6415321', 'https://www.semanticscholar.org/author/Yonatan-Belinkov/2083259']"
2019,Robust Text Classifier on Test-Time Budgets,8/24/18,"['https://www.semanticscholar.org/paper/Robust-Text-Classifier-on-Test-Time-Budgets-Parvez-Bolukbasi/ca68b4a21db7aee79057ee74cd226073e8878da7', 'https://www.semanticscholar.org/paper/Building-a-Robust-Text-Classifier-on-a-Test-Time-Parvez-Bolukbasi/7fea850fa17fa199ff65b859cf84564a1c903562']","['https://www.semanticscholar.org/author/Venkatesh-Saligrama/1699322', 'https://www.semanticscholar.org/author/Kai-Wei-Chang/2782886', 'https://www.semanticscholar.org/author/Tolga-Bolukbasi/2843215', 'https://www.semanticscholar.org/author/Venkatesh-Sarigrama/51234222', 'https://www.semanticscholar.org/author/Md.-Rizwan-Parvez/3405393', 'https://www.semanticscholar.org/author/Rizwan-Parvez/82378238']"
2019,Hiding Objects from Detectors: Exploring Transferrable Adversarial Patterns,9/27/18,['https://www.semanticscholar.org/paper/Hiding-Objects-from-Detectors%3A-Exploring-Patterns-Long-Fu/8e9f5ca2da48417b7cd57b1babb8bf8616791e85'],"['https://www.semanticscholar.org/author/Chris-Pal/98109738', 'https://www.semanticscholar.org/author/Shangbang-Long/51126615', 'https://www.semanticscholar.org/author/Jie-Fu/145016608']"
2019,Unsupervised Latent Tree Induction with Deep Inside-Outside Recursive Auto-Encoders ,4/3/19,['https://www.semanticscholar.org/paper/Unsupervised-Latent-Tree-Induction-with-Deep-Drozdov-Verga/0053f75b7053f43b9787a9955426281e672b147b'],"['https://www.semanticscholar.org/author/Andrew-Drozdov/32573794', 'https://www.semanticscholar.org/author/Andrew-McCallum/143753639', 'https://www.semanticscholar.org/author/Mohit-Yadav/2621359', 'https://www.semanticscholar.org/author/Pat-Verga/2986975', 'https://www.semanticscholar.org/author/Mohit-Iyyer/2136562']"
2019,Tangent-Normal Adversarial Regularization for Semi-supervised Learning,8/18/18,['https://www.semanticscholar.org/paper/Tangent-Normal-Adversarial-Regularization-for-Yu-Wu/9f9b21270c4b659a0dbf2f9a25c223bd97aedc99'],"['https://www.semanticscholar.org/author/Jingfeng-Wu/5180683', 'https://www.semanticscholar.org/author/Bing-Yu/46806278', 'https://www.semanticscholar.org/author/Zhanxing-Zhu/1703952']"
2019,Answer-based Adversarial Training for Generating Clarification Questions,4/4/19,['https://www.semanticscholar.org/paper/Answer-based-Adversarial-Training-for-Generating-Rao-Daum%C3%A9/9e2339e09e4537b0fcb7922f10851d970bd81c5e'],"['https://www.semanticscholar.org/author/Sudha-Rao/145610605', 'https://www.semanticscholar.org/author/Hal-Daum%C3%A9/1722360']"
2019,IncSQL: Training Incremental Text-to-SQL Parsers with Non-Deterministic Oracles,9/13/18,['https://www.semanticscholar.org/paper/IncSQL%3A-Training-Incremental-Text-to-SQL-Parsers-Shi-Tatwawadi/8751bf53c5f32db3e040516433a49b991aba62ac'],"['https://www.semanticscholar.org/author/Oleksandr-Polozov/2636739', 'https://www.semanticscholar.org/author/Tianze-Shi/2929835', 'https://www.semanticscholar.org/author/Yi-Mao/145469202', 'https://www.semanticscholar.org/author/Weizhu-Chen/7307263', 'https://www.semanticscholar.org/author/Kaushik-Chakrabarti/145328899', 'https://www.semanticscholar.org/author/Kedar-Tatwawadi/145847769']"
2019,Mitigating Bias in Natural Language Inference Using Adversarial Learning,9/27/18,['https://www.semanticscholar.org/paper/Mitigating-Bias-in-Natural-Language-Inference-Using-Belinkov-Poliak/a3d2271bd360f9e5c2ac5a24e5e3945329cc1ca8'],"['https://www.semanticscholar.org/author/Stuart-M.-Shieber/1692491', 'https://www.semanticscholar.org/author/Yonatan-Belinkov/2083259', 'https://www.semanticscholar.org/author/Benjamin-Van-Durme/7536576', 'https://www.semanticscholar.org/author/Adam-Poliak/48926630']"
2019,Multi-Modal Generative Adversarial Networks for Diverse Datasets,9/27/18,['https://www.semanticscholar.org/paper/Multi-Modal-Generative-Adversarial-Networks-for-Ben-Yosef-Weinshall/09fa077bd29569f4005eebd129201b7bb0109f22'],"['https://www.semanticscholar.org/author/Matan-Ben-Yosef/1410571000', 'https://www.semanticscholar.org/author/Daphna-Weinshall/1789171']"
