Distributed Restarting NewtonCG Method for Large-Scale Empirical Risk Minimization,['https://www.semanticscholar.org/paper/Distributed-Restarting-NewtonCG-Method-for-Risk-Jahani-He/7116ff3be199557e7f1d60ac2670ca0a689c3627'],[{'Citations': 0}]
Deep Hyperspherical Defense against Adversarial Perturbations,['https://www.semanticscholar.org/paper/Deep-Hyperspherical-Defense-against-Adversarial-Liu-Liu/0cf93d3b5754148a380a74a97300c341d403d3c3'],[{'Citations': 0}]
FastNorm: Improving Numerical Stability of Deep Network Training with Efficient Normalization,['https://www.semanticscholar.org/paper/FastNorm%3A-Improving-Numerical-Stability-of-Deep-Malladi-Sharapov/8b916d298deb20be66d82c960c9c8e7346367f34'],[{'Citations': 0}]
Cluster-based Warm-Start Nets,['https://www.semanticscholar.org/paper/Cluster-Based-Web-System-Models-for-Different-of-in-Rak/8b398d30c2e70b4653ee7293d32720c50b3c518b'],[{'Citations': 0}]
THINK VISUALLY: QUESTION ANSWERING THROUGH VIRTUAL IMAGERY,['https://www.semanticscholar.org/paper/Think-Visually%3A-Question-Answering-through-Virtual-Goyal-Wang/25497541031b9fad3992e193cf3a30297223012b'],[{'Citations': 1}]
Do Convolutional Neural Networks act  as Compositional Nearest Neighbors?,['https://www.semanticscholar.org/paper/Do-Convolutional-Neural-Networks-act-as-Nearest-Liu-Bansal/d80a794320836120bab46b467118c65fd6693f57'],[{'Citations': 1}]
Binarized Back-Propagation: Training Binarized Neural Networks with Binarized Gradients,['https://www.semanticscholar.org/paper/Binarized-Back-Propagation%3A-Training-Binarized-with-Hubara-Hoffer/1bccff4a1511f7028837730c64714f220db46070'],[{'Citations': 0}]
DETECTING ADVERSARIAL PERTURBATIONS WITH SALIENCY,"['https://www.semanticscholar.org/paper/Detecting-Adversarial-Perturbations-with-Saliency-Zhang-Yang/8d2db5dd735829bc119d136e4e66a2988853b0ce', 'https://www.semanticscholar.org/paper/Detecting-Adversarial-Perturbations-with-Saliency-Zhang-Ye/8ee5ae716558980c3fb60002b2dc0f7270836e9c']","[{'Citations': 6}, {'Citations': 5}]"
Complex- and Real-Valued Neural Network Architectures,['https://www.semanticscholar.org/paper/Complex-and-Real-Valued-Neural-Network-M%C3%B6nning-Manandhar/f6ee5f19af1208b60b484b1186d8d521fdaf52cc'],[{'Citations': 1}]
Learning with Mental Imagery,['https://www.semanticscholar.org/paper/How-mental-imagery-helps-robot-learning-Seepanomwan/c9c2a1a0433e92ae8e89585dab19dd56e8fa1576'],[{'Citations': 0}]
HyperNetworks with statistical filtering for defending adversarial examples,['https://www.semanticscholar.org/paper/HyperNetworks-with-statistical-filtering-for-Sun-Ozay/6fc8da70c2cf197b19290d002797313877cbc755'],[{'Citations': 7}]
