authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Pavlo-Molchanov/2824500', 'https://www.semanticscholar.org/author/Stephen-Tyree/2342481', 'https://www.semanticscholar.org/author/Tero-Karras/2976930', 'https://www.semanticscholar.org/author/Timo-Aila/1761103', 'https://www.semanticscholar.org/author/Jan-Kautz/1690538']",1772;2424;4718;6174;13942,46;42;42;68;301,14;17;21;32;57,196;269;848;993;1885
"['https://www.semanticscholar.org/author/Yunchen-Pu/2750075', 'https://www.semanticscholar.org/author/Martin-Renqiang-Min/5477477', 'https://www.semanticscholar.org/author/Zhe-Gan/144702900', 'https://www.semanticscholar.org/author/Lawrence-Carin/145006560']",1153;887;2310;19351,44;58;85;819,14;14;25;66,119;103;320;1985
"['https://www.semanticscholar.org/author/Eyrun-Eyjolfsdottir/2948199', 'https://www.semanticscholar.org/author/Kristin-Branson/2424812', 'https://www.semanticscholar.org/author/Yisong-Yue/1740159', 'https://www.semanticscholar.org/author/Pietro-Perona/1690922']",252;1706;3233;63330,9;41;121;444,6;19;29;91,27;140;391;8572
"['https://www.semanticscholar.org/author/Chelsea-Finn/46881670', 'https://www.semanticscholar.org/author/Tianhe-Yu/10909315', 'https://www.semanticscholar.org/author/Justin-Fu/2550764', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651']",7805;583;551;36938;24658,98;17;20;433;310,33;8;10;94;73,1047;68;81;4451;3204
"['https://www.semanticscholar.org/author/Pratik-Chaudhari/143976382', 'https://www.semanticscholar.org/author/Anna-Choromanska/3216141', 'https://www.semanticscholar.org/author/Stefano-Soatto/1715959', 'https://www.semanticscholar.org/author/Yann-LeCun/1688882', 'https://www.semanticscholar.org/author/Carlo-Baldassi/3066793', 'https://www.semanticscholar.org/author/Christian-Borgs/1721812', 'https://www.semanticscholar.org/author/Jennifer-T.-Chayes/1695997', 'https://www.semanticscholar.org/author/Levent-Sagun/2246570', 'https://www.semanticscholar.org/author/Riccardo-Zecchina/1719010']",639;2479;15626;92622;910;5823;5449;960;5466,32;89;458;345;57;191;144;22;180,9;19;61;107;13;39;38;12;37,76;231;1438;10396;82;613;574;129;459
"['https://www.semanticscholar.org/author/David-Alvarez-Melis/1390096054', 'https://www.semanticscholar.org/author/Tommi-S.-Jaakkola/35132120']",580;22163,26;292,11;69,57;2321
"['https://www.semanticscholar.org/author/Michael-Chang/47235561', 'https://www.semanticscholar.org/author/Tomer-Ullman/37774552', 'https://www.semanticscholar.org/author/Antonio-Torralba/143805211', 'https://www.semanticscholar.org/author/Joshua-B.-Tenenbaum/1763295']",1155;559;48619;30839,42;33;281;590,16;8;88;83,84;32;6342;2683
"['https://www.semanticscholar.org/author/Janarthanan-Rajendran/10197529', 'https://www.semanticscholar.org/author/Aravind-S.-Lakshminarayanan/2943530', 'https://www.semanticscholar.org/author/Mitesh-M.-Khapra/2361078', 'https://www.semanticscholar.org/author/P.-Prasanna/145391047', 'https://www.semanticscholar.org/author/Balaraman-Ravindran/1723632']",104;167;1337;36;2503,14;13;91;8;234,6;7;18;3;28,10;9;153;4;202
"['https://www.semanticscholar.org/author/Eleanor-Batty/34794454', 'https://www.semanticscholar.org/author/Josh-Merel/1879232', 'https://www.semanticscholar.org/author/Nora-Brackbill/8992425', 'https://www.semanticscholar.org/author/Alexander-Heitman/5108054', 'https://www.semanticscholar.org/author/Alexander-Sher/144488493', 'https://www.semanticscholar.org/author/Alan-M.-Litke/3323053', 'https://www.semanticscholar.org/author/E.-J.-Chichilnisky/144345443', 'https://www.semanticscholar.org/author/Liam-Paninski/1763504']",94;1658;277;84;6185;5651;455;10827,6;29;12;5;161;78;24;251,4;16;6;3;32;34;11;50,8;127;11;3;487;476;27;983
"['https://www.semanticscholar.org/author/Jianwei-Yang/145743311', 'https://www.semanticscholar.org/author/Anitha-Kannan/145721096', 'https://www.semanticscholar.org/author/Dhruv-Batra/1746610', 'https://www.semanticscholar.org/author/Devi-Parikh/153432684']",2007;1723;8468;15162,79;66;147;185,13;20;41;55,252;186;1150;2387
"['https://www.semanticscholar.org/author/Ke-Li/144954689', 'https://www.semanticscholar.org/author/Jitendra-Malik/143751119']",7826;75103,782;429,43;116,307;7769
"['https://www.semanticscholar.org/author/Xi-Chen/41192764', 'https://www.semanticscholar.org/author/Diederik-P.-Kingma/1726807', 'https://www.semanticscholar.org/author/Tim-Salimans/2887364', 'https://www.semanticscholar.org/author/Yan-Duan/144581158', 'https://www.semanticscholar.org/author/Prafulla-Dhariwal/6515819', 'https://www.semanticscholar.org/author/John-Schulman/47971768', 'https://www.semanticscholar.org/author/Ilya-Sutskever/1701686', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992']",13601;56020;6679;5544;3327;15023;132389;36938,444;26;35;48;12;55;90;433,42;19;13;19;6;31;53;94,1548;10288;1037;643;906;2492;17007;4451
"['https://www.semanticscholar.org/author/David-Warde-Farley/1393680089', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762']",24367;205027,27;807,19;147,3870;24136
"['https://www.semanticscholar.org/author/Brian-Cheung/144018734', 'https://www.semanticscholar.org/author/Eric-Weiss/21312723', 'https://www.semanticscholar.org/author/Bruno-A.-Olshausen/1708655']",1512;425;15088,46;40;133,12;11;38,147;26;1160
"['https://www.semanticscholar.org/author/Zhilin-Yang/47087291', 'https://www.semanticscholar.org/author/Bhuwan-Dhingra/34994191', 'https://www.semanticscholar.org/author/Ye-Yuan/30556331', 'https://www.semanticscholar.org/author/Junjie-Hu/145919378', 'https://www.semanticscholar.org/author/William-W.-Cohen/50056360', 'https://www.semanticscholar.org/author/Ruslan-Salakhutdinov/145124475']",4991;1208;1404;510;22626;67952,90;37;115;21;424;254,26;15;17;11;68;82,798;169;123;34;2627;7814
"['https://www.semanticscholar.org/author/Zhilin-Yang/47087291', 'https://www.semanticscholar.org/author/Ruslan-Salakhutdinov/145124475', 'https://www.semanticscholar.org/author/William-W.-Cohen/50056360']",4991;67952;22626,90;254;424,26;82;68,798;7814;2627
"['https://www.semanticscholar.org/author/Minjoon-Seo/4418074', 'https://www.semanticscholar.org/author/Aniruddha-Kembhavi/2684226', 'https://www.semanticscholar.org/author/Ali-Farhadi/143787583', 'https://www.semanticscholar.org/author/Hannaneh-Hajishirzi/2548384']",1735;2640;16428;2890,20;32;119;97,14;14;43;25,412;457;2809;602
