authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Hongzhou-Lin/46933580', 'https://www.semanticscholar.org/author/Joshua-A.-Robinson/145714956', 'https://www.semanticscholar.org/author/Stefanie-Jegelka/2594093']",18;1139;3398,4;114;115,2;14;28,0;17;547
"['https://www.semanticscholar.org/author/Qingyun-Dou/46981770', 'https://www.semanticscholar.org/author/Yiting-Lu/9871228', 'https://www.semanticscholar.org/author/Joshua-Efiong/1379793291', 'https://www.semanticscholar.org/author/Mark-John-Francis-Gales/1740397']",9;26;0;10544,7;13;1;369,1;2;0;48,1;2;0;1047
"['https://www.semanticscholar.org/author/Zhuang-Liu/2823939', 'https://www.semanticscholar.org/author/Tinghui-Zhou/1822702', 'https://www.semanticscholar.org/author/Zhiqiang-Shen/145314568', 'https://www.semanticscholar.org/author/Bingyi-Kang/1995717', 'https://www.semanticscholar.org/author/Trevor-Darrell/1753210']",37577;8114;1116;869;90979,341;24;31;41;559,90;13;10;15;112,2383;1641;176;68;11527
"['https://www.semanticscholar.org/author/Dongruo-Zhou/35972566', 'https://www.semanticscholar.org/author/Lihong-Li/37715548', 'https://www.semanticscholar.org/author/Quanquan-Gu/9937103']",349;300;3895,18;40;174,7;8;34,35;22;411
"['https://www.semanticscholar.org/author/Srivatsan-Krishnan/2808839', 'https://www.semanticscholar.org/author/Sharad-Chitlangia/1389561411', 'https://www.semanticscholar.org/author/Maximilian-Lam/2347284', 'https://www.semanticscholar.org/author/Zishen-Wan/148439143', 'https://www.semanticscholar.org/author/Aleksandra-Faust/145520045', 'https://www.semanticscholar.org/author/Vijay-Janapa-Reddi/1805668']",60;1;477;5;392;5884,16;2;10;7;39;116,4;1;6;1;9;24,5;0;78;0;10;922
"['-1', '-1', 'https://www.semanticscholar.org/author/Jinjun-Xiong/46590281']",-1;-1;1775,-1;-1;171,-1;-1;23,0;0;155
"['https://www.semanticscholar.org/author/Hiroaki-Yamane/25509090', 'https://www.semanticscholar.org/author/Chin-Yew-Lin/1781574', 'https://www.semanticscholar.org/author/Tatsuya-Harada/1790553']",55;12122;2594,31;189;213,4;44;26,3;1764;327
"['https://www.semanticscholar.org/author/Wei-Hsu-Chen/117455182', 'https://www.semanticscholar.org/author/Hsueh-Ming-Hang/144922393']",0;1644,2;207,0;18,0;125
"['https://www.semanticscholar.org/author/Xingkui-Wei/1469520284', 'https://www.semanticscholar.org/author/Yinda-Zhang/2507239', 'https://www.semanticscholar.org/author/Zhuwen-Li/3119455', 'https://www.semanticscholar.org/author/Yanwei-Fu/35782003', 'https://www.semanticscholar.org/author/Xiangyang-Xue/48002027']",2;1744;669;1915;895,1;35;26;90;114,1;15;12;22;16,0;311;122;254;51
"['https://www.semanticscholar.org/author/Yosuke-Ueno/3386617', 'https://www.semanticscholar.org/author/Masaaki-Kondo/70555154']",160;44,47;33,7;4,8;2
"['https://www.semanticscholar.org/author/Cheng-hao-Liu/50557874', 'https://www.semanticscholar.org/author/Tao-Lu/116627839', 'https://www.semanticscholar.org/author/Doyen-Sahoo/36187119', 'https://www.semanticscholar.org/author/Yu%C3%A1n-F%C7%8Eng/143844732', 'https://www.semanticscholar.org/author/Steven-C.-H.-Hoi/1741126']",11;52;368;20;9066,10;9;27;81;295,2;4;10;2;50,0;1;50;3;849
"['https://www.semanticscholar.org/author/Hansi-Yang/1390621275', 'https://www.semanticscholar.org/author/Quanming-Yao/3259992', 'https://www.semanticscholar.org/author/Botang-Han/95208581', 'https://www.semanticscholar.org/author/Gang-Niu/47537639']",0;935;700;1198,2;58;101;80,0;15;11;17,0;106;20;148
['https://www.semanticscholar.org/author/Wanyun-Cui/2813326'],396,14,6,61
"['https://www.semanticscholar.org/author/Ayush-Chopra/9551558', 'https://www.semanticscholar.org/author/Surgan-Jandial/151496750', 'https://www.semanticscholar.org/author/Mausoom-Sarkar/39230373', 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/1557631185', 'https://www.semanticscholar.org/author/Vineeth-N.-Balasubramanian/1699429']",9;6;18;4;1050,12;6;13;7;116,2;1;3;1;15,1;1;2;0;135
['https://www.semanticscholar.org/author/Jay-Nandy/40456486'],20,5,2,3
"['-1', '-1', 'https://www.semanticscholar.org/author/Tom-Diethe/1934973', 'https://www.semanticscholar.org/author/Peter-A.-Flach/47840704']",-1;-1;637;8304,-1;-1;75;321,-1;-1;11;44,0;0;35;689
"['https://www.semanticscholar.org/author/Kengo-Nakata/119716375', 'https://www.semanticscholar.org/author/Daisuke-Miyashita/103130734', 'https://www.semanticscholar.org/author/Asuka-Maki/38136807', 'https://www.semanticscholar.org/author/Fumihiko-Tachibana/38257658', 'https://www.semanticscholar.org/author/Shinichi-Sasaki/47483363', 'https://www.semanticscholar.org/author/Jun-Deguchi/49192096']",2;26;20;95;1;208,6;10;12;21;10;53,1;2;4;6;1;9,0;4;2;15;0;19
"['https://www.semanticscholar.org/author/Srinadh-Bhojanapalli/1798880', 'https://www.semanticscholar.org/author/Chulhee-Yun/2674870', 'https://www.semanticscholar.org/author/Ankit-Singh-Rawat/2241094', 'https://www.semanticscholar.org/author/Sashank-J.-Reddi/1981186', 'https://www.semanticscholar.org/author/Sanjiv-Kumar/46574622']",1642;202;1431;2194;941,28;22;84;53;142,16;6;19;20;13,199;14;140;418;113
"['https://www.semanticscholar.org/author/Pan-Xu/47568847', 'https://www.semanticscholar.org/author/Quanquan-Gu/9937103']",295;3895,31;174,10;34,42;411
"['https://www.semanticscholar.org/author/Rafael-Michael-Karampatsis/1580596554', 'https://www.semanticscholar.org/author/Charles-Sutton/152549864']",0;50,1;18,0;3,0;4
"['https://www.semanticscholar.org/author/Vikas-Verma/50346446', 'https://www.semanticscholar.org/author/Meng-Qu/145252498', 'https://www.semanticscholar.org/author/Alex-Lamb/108643774', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762', 'https://www.semanticscholar.org/author/Juho-Kannala/1776374', 'https://www.semanticscholar.org/author/Jian-Tang/152226504']",202;504;2136;208566;3645;346,25;40;22;807;127;94,4;5;8;147;24;8,40;100;203;24297;499;27
"['https://www.semanticscholar.org/author/Sergey-A.-Shuvaev/92285627', 'https://www.semanticscholar.org/author/Ngoc-B.-Tran/51038588', 'https://www.semanticscholar.org/author/Marcus-Stephenson-Jones/1404675497', 'https://www.semanticscholar.org/author/Bo-Li/71788673', 'https://www.semanticscholar.org/author/Alexei-A.-Koulakov/1875952']",16;94;563;997;1816,8;12;14;67;83,3;3;9;9;16,0;6;27;114;140
"['https://www.semanticscholar.org/author/Jean-R%C3%A9mi-King/28972230', 'https://www.semanticscholar.org/author/Francois-Charton/6294136', 'https://www.semanticscholar.org/author/Maxime-Oquab/2093491', 'https://www.semanticscholar.org/author/David-Lopez-Paz/1401804750']",1273;1;2971;2483,45;14;20;46,16;1;7;19,90;0;222;428
"['-1', '-1', '-1', '-1', '-1']",-1;-1;-1;-1;-1,-1;-1;-1;-1;-1,-1;-1;-1;-1;-1,0;0;0;0;0
"['https://www.semanticscholar.org/author/Jiaxin-Li/145149511', 'https://www.semanticscholar.org/author/Jinan-Zhou/49640714']",499;6,62;5,10;1,58;0
"['https://www.semanticscholar.org/author/Gregory-Naitzat/30745163', 'https://www.semanticscholar.org/author/Andrey-Zhitnikov/14541845', 'https://www.semanticscholar.org/author/Lek-Heng-Lim/1784453']",31;18;4069,5;5;92,2;1;24,3;0;399
"['https://www.semanticscholar.org/author/Qi-Liang-Cai/153492304', 'https://www.semanticscholar.org/author/Zhuoran-Yang/150358650', 'https://www.semanticscholar.org/author/Jason-D.-Lee/2421201', 'https://www.semanticscholar.org/author/Shaolei-S.-Du/116587905', 'https://www.semanticscholar.org/author/Zhaoran-Wang/50218397']",2;194;5042;2;126,9;42;121;2;26,1;7;36;1;7,0;23;620;0;16
"['https://www.semanticscholar.org/author/Rafael-T.-Sousa/8772839', 'https://www.semanticscholar.org/author/Lucas-Anacretto-Pereira/48219255', 'https://www.semanticscholar.org/author/Anderson-da-Silva-Soares/34716840']",12;35;4,5;10;7,3;3;2,0;3;0
"['https://www.semanticscholar.org/author/Alexandre-Araujo/145533439', 'https://www.semanticscholar.org/author/Benjamin-N%C3%A9grevergne/2511985', 'https://www.semanticscholar.org/author/Yann-Chevaleyre/1705871', 'https://www.semanticscholar.org/author/Jamal-Atif/1773774']",38;278;2407;991,9;30;102;114,4;9;26;14,7;23;200;42
"['https://www.semanticscholar.org/author/Bao-Wang/144570116', 'https://www.semanticscholar.org/author/Quanquan-Gu/9937103', 'https://www.semanticscholar.org/author/March-Tian-Boedihardjo/73133034', 'https://www.semanticscholar.org/author/Farzin-Barekat/3337521', 'https://www.semanticscholar.org/author/Stanley-Osher/103583159']",2;4160;29;56;145,11;175;22;21;25,1;35;4;5;5,0;416;3;2;15
"['https://www.semanticscholar.org/author/Pei-Xi-Guo/144183195', 'https://www.semanticscholar.org/author/Connor-Anderson/24884535', 'https://www.semanticscholar.org/author/Ryan-Farrell/147900701']",241;101;1,54;14;8,8;2;1,14;5;0
"['https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/Jingzhao-Zhang/50561307', 'https://www.semanticscholar.org/author/Zhiming-Zhou/145385776', 'https://www.semanticscholar.org/author/James-F.-Glass/36217631']",151;439;243;94,18;41;29;43,5;7;8;5,20;17;21;8
"['https://www.semanticscholar.org/author/Tianxing-He/3083253', 'https://www.semanticscholar.org/author/Jianzhuang-Liu/46700604', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489', 'https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Bing-Liu/47655360', 'https://www.semanticscholar.org/author/James-R.-Glass/145898106', 'https://www.semanticscholar.org/author/Fuchun-Peng/1682136']",151;419;47561;4157;304;11517;3179,18;134;274;39;86;342;68,5;10;53;20;10;57;23,20;37;6747;818;15;966;299
"['https://www.semanticscholar.org/author/Hung-M.-Phan/144568097', 'https://www.semanticscholar.org/author/Ali-Jannesari/1692563']",533;933,38;99,13;18,48;20
"['https://www.semanticscholar.org/author/Lukas-Enderich/151088724', 'https://www.semanticscholar.org/author/Fabian-Timm/3001475', 'https://www.semanticscholar.org/author/Lars-Rosenbaum/40138779', 'https://www.semanticscholar.org/author/Wolfram-Burgard/1725973']",4;356;567;53280,3;20;30;783,1;6;11;100,0;40;25;3906
"['https://www.semanticscholar.org/author/Lukas-Cavigelli/1701257', 'https://www.semanticscholar.org/author/Luca-Benini/1710649']",1013;35085,49;1313,12;86,92;1959
"['https://www.semanticscholar.org/author/Shubham-Gupta/145733816', 'https://www.semanticscholar.org/author/Rishi-Hazra/1399739959', 'https://www.semanticscholar.org/author/Amebdkar-Dukkipati/1661018164']",1084;0;0,130;4;1,16;0;0,57;0;0
"['https://www.semanticscholar.org/author/Yantian-Zha/8241534', 'https://www.semanticscholar.org/author/Yikang-Li/2180892', 'https://www.semanticscholar.org/author/Sriram-Gopalakrishnan/30865023', 'https://www.semanticscholar.org/author/Hankz-Hankui-Zhuo/74076606', 'https://www.semanticscholar.org/author/Baoxin-Li/2913552', 'https://www.semanticscholar.org/author/Subbarao-Kambhampati/1740315']",38;690;18;631;3794;8142,6;73;16;54;227;419,3;12;3;14;29;44,0;86;0;29;294;542
"['https://www.semanticscholar.org/author/Changlin-Wan/40400896', 'https://www.semanticscholar.org/author/Wennan-Chang/47288131', 'https://www.semanticscholar.org/author/Sha-Cao/47897643', 'https://www.semanticscholar.org/author/Xiao-Wang/92422845', 'https://www.semanticscholar.org/author/Chi-Zhang/48934874']",116;0;164;12174;176,26;2;23;370;86,6;0;6;65;6,3;0;6;364;6
"['https://www.semanticscholar.org/author/Anton-Bakhtin/152918929', 'https://www.semanticscholar.org/author/Sam-Gross/39793298', 'https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Yuntian-Deng/2505751', ""https://www.semanticscholar.org/author/Marc'Aurelio-Ranzato/116587616"", 'https://www.semanticscholar.org/author/Arthur-Szlam/3149531']",178;7820;4157;1513;56;9245,14;17;39;31;17;87,6;11;20;13;4;35,27;954;818;234;7;969
"['https://www.semanticscholar.org/author/Suri-Bhasker-Sri-Harsha/1572259452', 'https://www.semanticscholar.org/author/Yeturu-Kalidas/7415754']",0;75,1;6,0;1,0;6
"['https://www.semanticscholar.org/author/Yunbo-Wang/3530540', 'https://www.semanticscholar.org/author/Bo-Liu/47655718', 'https://www.semanticscholar.org/author/Jiajun-Wu/3045089', 'https://www.semanticscholar.org/author/Yuke-Zhu/2117748', 'https://www.semanticscholar.org/author/Simon-S.-Du/145697585', 'https://www.semanticscholar.org/author/Li-Fei-Fei/48004138', 'https://www.semanticscholar.org/author/Joshua-B.-Tenenbaum/1763295']",654;6805;4151;2473;2135;84787;33543,29;627;91;57;56;452;599,11;34;30;20;20;99;88,52;414;394;301;322;11922;2752
"['https://www.semanticscholar.org/author/Tan-Yu/3287750', 'https://www.semanticscholar.org/author/Yunfeng-Cai/48694117', 'https://www.semanticscholar.org/author/Ping-Li/2420746']",289;30;332,67;15;109,8;1;10,26;3;19
"['https://www.semanticscholar.org/author/Sergei-Bugrov/1660945588', 'https://www.semanticscholar.org/author/Ron-Sun/36060173']",0;1204,1;66,0;15,0;105
"['https://www.semanticscholar.org/author/Valentin-Khrulkov/10662951', 'https://www.semanticscholar.org/author/Ivan-V.-Oseledets/1738205']",165;4783,12;200,7;31,17;413
"['https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Syed-Ashar-Javed/40604609', 'https://www.semanticscholar.org/author/Maximilian-Sieb/51039185', 'https://www.semanticscholar.org/author/Adam-W.-Harley/34939798', 'https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557']",3;457;19;8;523;1992,3;25;6;6;20;55,1;8;3;2;8;15,0;44;3;0;59;205
"['https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Zhou-Xi-an/145541288', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557']",457;8;3;1992,25;31;3;55,8;2;1;15,44;2;0;205
"['https://www.semanticscholar.org/author/Feida-Zhu/1409856741', 'https://www.semanticscholar.org/author/Chaowei-Fang/2082794', 'https://www.semanticscholar.org/author/Kai-Kuang-Ma/123870267']",7;48;0,10;12;7,2;4;0,0;7;0
"['-1', '-1', '-1']",-1;-1;-1,-1;-1;-1,-1;-1;-1,0;0;0
"['https://www.semanticscholar.org/author/Nannan-Tian/6302868', 'https://www.semanticscholar.org/author/Yilu-Liu/49420818']",140;3225,15;255,7;30,2;140
"['https://www.semanticscholar.org/author/Min-Hye-Oh/145668470', 'https://www.semanticscholar.org/author/Byung-Gook-Park/146291893']",3;110,10;49,1;3,0;0
"['https://www.semanticscholar.org/author/Zhenhua-Chen/49865585', 'https://www.semanticscholar.org/author/Xiwen-Li/47058176', 'https://www.semanticscholar.org/author/Chuhua-Wang/1468379652', 'https://www.semanticscholar.org/author/David-J.-Crandall/2821130']",105;4;3;5948,39;9;3;186,6;1;1;32,4;0;0;457
['https://www.semanticscholar.org/author/Yingzhen-Yang/2680237'],2130,83,20,175
"['https://www.semanticscholar.org/author/Alexander-Sax/46389228', 'https://www.semanticscholar.org/author/Jeffrey-O.-Zhang/2042436', 'https://www.semanticscholar.org/author/Amir-Roshan-Zamir/40029556', 'https://www.semanticscholar.org/author/Silvio-Savarese/1702137', 'https://www.semanticscholar.org/author/Jagannath-Malik/153652147']",455;1108;5450;18240;12683,9;28;51;285;36,4;14;22;68;13,47;57;1162;2603;1267
"['https://www.semanticscholar.org/author/Yihui-He/39838894', 'https://www.semanticscholar.org/author/Jianren-Wang/2966240']",1342;122,36;28,10;5,204;8
"['https://www.semanticscholar.org/author/Li-Zhang/48459110', 'https://www.semanticscholar.org/author/Dan-Xu/144742695', 'https://www.semanticscholar.org/author/Anurag-Arnab/31638576', 'https://www.semanticscholar.org/author/Philip-H.-S.-Torr/143635540']",323;108;683;30614,98;50;25;360,9;5;11;87,23;6;59;3973
['https://www.semanticscholar.org/author/Vikas-Gottemukkula/3375878'],124,11,6,9
"[""https://www.semanticscholar.org/author/L'eonard-Hussenot/122562941"", 'https://www.semanticscholar.org/author/Matthieu-Geist/50675536', 'https://www.semanticscholar.org/author/Olivier-Pietquin/79608109']",4;100;408,7;18;42,1;3;6,0;7;50
"['https://www.semanticscholar.org/author/Miguel-Suau/1429191192', 'https://www.semanticscholar.org/author/Elena-Congeduti/1419906049', 'https://www.semanticscholar.org/author/Rolf-Starre/74186242', 'https://www.semanticscholar.org/author/Aleksander-Czechowski/31396926', 'https://www.semanticscholar.org/author/Frans-A.-Oliehoek/1799949']",0;4;0;42;1794,1;2;2;23;113,0;1;0;4;23,0;0;0;2;154
"['https://www.semanticscholar.org/author/Yuge-Huang/3541702', '-1', 'https://www.semanticscholar.org/author/Ying-Tai/144970872', 'https://www.semanticscholar.org/author/Xiaoming-Liu/40134592', 'https://www.semanticscholar.org/author/Pengcheng-Shen/1774060', 'https://www.semanticscholar.org/author/Shao-xin-Li/12373817', 'https://www.semanticscholar.org/author/Jilin-Li/49298244', 'https://www.semanticscholar.org/author/Feiyue-Huang/1835006']",76;-1;1797;58;161;7;134;726,12;-1;52;24;12;4;35;84,4;-1;15;4;5;2;6;15,2;0;332;2;4;0;7;104
"['https://www.semanticscholar.org/author/Rongmei-Lin/10035476', 'https://www.semanticscholar.org/author/Weiyang-Liu/36326884', 'https://www.semanticscholar.org/author/Zhen-Liu/144634488', 'https://www.semanticscholar.org/author/Chen-Feng/144066717', 'https://www.semanticscholar.org/author/Zhiding-Yu/1751019', 'https://www.semanticscholar.org/author/James-M.-Rehg/144177248', 'https://www.semanticscholar.org/author/Li-Xiong/145719374', 'https://www.semanticscholar.org/author/Le-Song/1779453']",65;2127;1409;1011;2618;16263;4582;10105,11;62;112;25;66;302;139;329,4;15;21;13;15;62;32;55,6;326;31;111;350;1554;382;1133
"['https://www.semanticscholar.org/author/Daniel-Kang/48493356', 'https://www.semanticscholar.org/author/Yi-Sun/49697236', 'https://www.semanticscholar.org/author/Dan-Hendrycks/3422872', 'https://www.semanticscholar.org/author/Tom-Brown/143889051', 'https://www.semanticscholar.org/author/Jacob-Steinhardt/5164568']",129;673;1622;386;2405,22;95;27;27;58,5;13;14;7;19,16;47;309;27;215
"['https://www.semanticscholar.org/author/Yangyang-Cheng/150347046', 'https://www.semanticscholar.org/author/Chun-Yuan/144204924']",26;1712,14;187,4;18,0;78
"['https://www.semanticscholar.org/author/Zengming-Shen/49019816', 'https://www.semanticscholar.org/author/Arjun-Gupta/48668934', 'https://www.semanticscholar.org/author/Thomas-S.-Huang/153652776']",223;9;1088,12;14;33,5;2;4,0;0;99
"['https://www.semanticscholar.org/author/Bailin-Li/51473867', 'https://www.semanticscholar.org/author/Bowen-Wu/152365288', 'https://www.semanticscholar.org/author/Jiang-Su/144538027', 'https://www.semanticscholar.org/author/Guangrun-Wang/2749191']",11;11;1286;1050,15;14;120;34,2;1;17;12,1;0;115;67
"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",-1;-1;-1;-1;-1;-1;-1,-1;-1;-1;-1;-1;-1;-1,-1;-1;-1;-1;-1;-1;-1,0;0;0;0;0;0;0
"['https://www.semanticscholar.org/author/Xuanqing-Liu/23979212', 'https://www.semanticscholar.org/author/Tesi-Xiao/134815477', 'https://www.semanticscholar.org/author/Si-Si/50393735', 'https://www.semanticscholar.org/author/Qin-Cao/46632715', 'https://www.semanticscholar.org/author/Sanjiv-Kumar/46574622', 'https://www.semanticscholar.org/author/Cho-Jui-Hsieh/3310983']",262;15;336;8;1096;319,20;4;10;12;142;23,6;1;2;1;15;4,38;2;48;0;115;59
"['https://www.semanticscholar.org/author/Stephen-T.-Casper/40641364', 'https://www.semanticscholar.org/author/Xavier-Boix/2343486', ""https://www.semanticscholar.org/author/Vanessa-D'Amario/1411352575"", 'https://www.semanticscholar.org/author/Christopher-Rodriguez/145897723', 'https://www.semanticscholar.org/author/Ling-Guo/145886051', 'https://www.semanticscholar.org/author/Kasper-Vinken/5927638', 'https://www.semanticscholar.org/author/Gabriel-Kreiman/1852992']",96;1582;1;48;55;121;12557,100;52;6;20;24;20;184,6;16;1;3;4;7;34,3;236;0;5;2;8;919
"['-1', '-1']",-1;-1,-1;-1,-1;-1,0;0
"['https://www.semanticscholar.org/author/Hanhan-Li/1391217276', 'https://www.semanticscholar.org/author/Joe-Yue-Hei-Ng/2340579', 'https://www.semanticscholar.org/author/Apostol-Natsev/1820908']",2;1823;4502,6;10;102,1;6;26,0;154;480
"['https://www.semanticscholar.org/author/Kamal-Gupta/145428082', 'https://www.semanticscholar.org/author/Saurabh-Singh/144704227', 'https://www.semanticscholar.org/author/Abhinav-Shrivastava/51453757']",100;129;193,8;41;32,4;6;4,11;4;10
"['https://www.semanticscholar.org/author/Xiang-Li/47875796', 'https://www.semanticscholar.org/author/Chen-Lin/10290688', 'https://www.semanticscholar.org/author/Chuming-Li/114282346', 'https://www.semanticscholar.org/author/Ming-Sun/152669122', 'https://www.semanticscholar.org/author/Wei-Wu/39533001', 'https://www.semanticscholar.org/author/Junjie-Yan/1721677', 'https://www.semanticscholar.org/author/Wanli-Ouyang/3001348']",883;221;21;715;16282;7431;11391,143;98;10;44;940;169;152,17;8;3;8;58;44;54,93;15;5;27;1391;1035;1238
"['https://www.semanticscholar.org/author/Soufiane-Belharbi/1802883', 'https://www.semanticscholar.org/author/J'erome-Rony/151374314', 'https://www.semanticscholar.org/author/Jose-Dolz/144702316', 'https://www.semanticscholar.org/author/Ismail-Ben-Ayed/144019647', 'https://www.semanticscholar.org/author/Luke-McCaffrey/49951687', 'https://www.semanticscholar.org/author/%C3%89ric-Granger/52194462']",69;7;863;2511;968;99,18;5;69;151;37;29,4;2;16;27;15;4,4;0;61;185;48;7
"['https://www.semanticscholar.org/author/Xu-Dong-Lin/1821514', 'https://www.semanticscholar.org/author/Lin-Ma/152309767', 'https://www.semanticscholar.org/author/Wenyu-Liu/1743698', 'https://www.semanticscholar.org/author/Shih-Fu-Chang/72197815']",27;68;8671;280,15;43;346;28,3;5;44;6,3;6;872;22
"['-1', '-1']",-1;-1,-1;-1,-1;-1,0;0
"['-1', '-1', '-1']",-1;-1;-1,-1;-1;-1,-1;-1;-1,0;0;0
"['https://www.semanticscholar.org/author/Liyue-Shen/1970631', 'https://www.semanticscholar.org/author/W.-Zhu/48506702', 'https://www.semanticscholar.org/author/Xucfeng-Wang/47120052', 'https://www.semanticscholar.org/author/Lei-Xing/48541743', 'https://www.semanticscholar.org/author/John-M.-Pauly/145854819', 'https://www.semanticscholar.org/author/Baris-Turkbey/39706539', 'https://www.semanticscholar.org/author/Stephanie-A.-Harmon/35423821', 'https://www.semanticscholar.org/author/Thomas-B.-Sanford/40200446', 'https://www.semanticscholar.org/author/Sherif-Mehralivand/12985837', 'https://www.semanticscholar.org/author/Peter-L.-Choyke/143999992', 'https://www.semanticscholar.org/author/Bradford-J.-Wood/145836450', 'https://www.semanticscholar.org/author/Daguang-Xu/3262394']",1454;133;54;1965;16463;2458;317;3697;343;43302;14455;344,22;24;17;199;316;119;100;126;92;1280;577;44,6;5;4;23;60;21;10;34;10;95;63;10,500;14;2;77;975;65;11;399;11;1368;459;21
"['https://www.semanticscholar.org/author/Zhiqiang-Shen/145314568', 'https://www.semanticscholar.org/author/Harsh-Maheshwari/70593497', 'https://www.semanticscholar.org/author/W.-Yao/71782320', 'https://www.semanticscholar.org/author/Marios-Savvides/1794486']",1137;13;9;6320,31;6;8;286,10;2;1;40,180;4;3;603
"['https://www.semanticscholar.org/author/Aparna-Aketi/1390093675', 'https://www.semanticscholar.org/author/Priyadarshini-Panda/9352814', 'https://www.semanticscholar.org/author/Kaushik-Roy/39703133']",0;674;243,1;66;72,0;15;10,0;45;22
"['https://www.semanticscholar.org/author/Linchao-Zhu/2948393', 'https://www.semanticscholar.org/author/Sercan-%C3%96.-Arik/2676352', 'https://www.semanticscholar.org/author/Yezhou-Yang/7607499', 'https://www.semanticscholar.org/author/Tomas-Pfister/1945962']",409;1537;3637;2426,44;53;201;47,10;17;32;16,45;122;288;292
"['https://www.semanticscholar.org/author/Valeriu-Balaban/51201388', 'https://www.semanticscholar.org/author/Yang-Zikun/1584164529', 'https://www.semanticscholar.org/author/Paul-Bogdan/48272088']",9;0;122,2;1;15,1;0;5,0;0;1
"['https://www.semanticscholar.org/author/Yogesh-Balaji/3458479', 'https://www.semanticscholar.org/author/Tom-Goldstein/69486855', 'https://www.semanticscholar.org/author/Judy-Hoffman/50196944']",517;260;9856,19;62;60,7;10;32,64;27;1159
"['https://www.semanticscholar.org/author/Micah-Goldblum/121592562', 'https://www.semanticscholar.org/author/Liam-Fowl/120165773', 'https://www.semanticscholar.org/author/Tom-Goldstein/69486855']",25;22;260,11;10;62,3;2;10,2;1;27
"['https://www.semanticscholar.org/author/Ali-Varamesh/2325888', 'https://www.semanticscholar.org/author/Tinne-Tuytelaars/1704728']",25;34164,8;340,4;56,2;4070
"['https://www.semanticscholar.org/author/A.-J.-Piergiovanni/8797855', 'https://www.semanticscholar.org/author/Alexander-Toshev/1726415', 'https://www.semanticscholar.org/author/Anelia-Angelova/2148510', 'https://www.semanticscholar.org/author/Michael-S.-Ryoo/1766489']",190;8790;265;3161,33;41;30;103,8;19;3;25,12;954;18;275
"['https://www.semanticscholar.org/author/Van-Duc-Nguyen/143631040', 'https://www.semanticscholar.org/author/Trung-Tha%CC%80nh-L%C3%AA/48778246', 'https://www.semanticscholar.org/author/Olivier-Y.-de-Vel/1790642', 'https://www.semanticscholar.org/author/Paul-Montague/48215891', 'https://www.semanticscholar.org/author/John-C.-Grundy/1687239', 'https://www.semanticscholar.org/author/Dinh-Q.-Phung/1749657']",1283;75;1578;6;5013;5128,73;26;87;9;385;302,13;5;17;2;35;34,91;1;105;0;266;419
"['-1', '-1', '-1', '-1', '-1']",-1;-1;-1;-1;-1,-1;-1;-1;-1;-1,-1;-1;-1;-1;-1,0;0;0;0;0
"['https://www.semanticscholar.org/author/Sephora-Madjiheurem/3468131', 'https://www.semanticscholar.org/author/Laura-Toni/144228516']",7;497,4;75,1;12,0;25
"['https://www.semanticscholar.org/author/Xinqi-Zhang/47957797', 'https://www.semanticscholar.org/author/Dan-Goldwasser/2877164']",203;1279,84;73,5;17,23;100
"['https://www.semanticscholar.org/author/Yu-Xiong-Wang/2302062', 'https://www.semanticscholar.org/author/Adrien-Bardes/1453740540', 'https://www.semanticscholar.org/author/Ruslan-Salakhutdinov/145124475', 'https://www.semanticscholar.org/author/Martial-Hebert/33615817']",1448;0;72367;2054,34;1;256;47,16;0;83;13,120;0;8008;173
"['https://www.semanticscholar.org/author/Colin-Summers/39820945', 'https://www.semanticscholar.org/author/Kendall-Lowrey/33557393', 'https://www.semanticscholar.org/author/Aravind-Rajeswaran/19275599', 'https://www.semanticscholar.org/author/Emanuel-Todorov/49596719', 'https://www.semanticscholar.org/author/Siddhartha-Srinivasa/82211564']",1879;501;920;5617;94,24;10;24;33;17,10;7;13;14;2,113;34;86;438;7
"['https://www.semanticscholar.org/author/Satoshi-Tsutsui/3727644', 'https://www.semanticscholar.org/author/Yanwei-Fu/35782003', 'https://www.semanticscholar.org/author/David-J.-Crandall/2821130']",107;2119;5948,38;92;186,6;23;32,10;268;457
