year,title,first_appearance_date,papers,authors
2020,Continual Learning via Neural Pruning,3/11/2019,['https://www.semanticscholar.org/paper/Continual-Learning-via-Neural-Pruning-Golkar-Kagan/2d20ca90b7f7db0a29b4f9a1118c73f08b82fbda'],"['https://www.semanticscholar.org/author/Siavash-Golkar/14938804', 'https://www.semanticscholar.org/author/Michael-Kagan/46479117', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489']"
2020,Continual Learning using the SHDL Framework with Skewed Replay Distributions,9/25/2019,['https://www.semanticscholar.org/paper/Continual-Learning-using-the-SHDL-Framework-with-Singh-Mcclelland/a802d343389d607ef584375ca131bf055bee088a'],"['https://www.semanticscholar.org/author/Jay-Mcclelland/38165347', 'https://www.semanticscholar.org/author/Amarjot-Singh/1958291']"
2020,Goten: GPU-Outsourcing Trusted Execution of Neural Network Training and Prediction,9/25/2019,['https://www.semanticscholar.org/paper/Goten%3A-GPU-Outsourcing-Trusted-Execution-of-Neural-Ng-Chow/a2b8ae4653c712effb19b070c8898518c009214e'],"['https://www.semanticscholar.org/author/Donald-Wong/46722521', 'https://www.semanticscholar.org/author/Yong-jun-Zhao/47827216', 'https://www.semanticscholar.org/author/Lucien-Ng/75109854', 'https://www.semanticscholar.org/author/Sherman-S.-M.-Chow/145876490', 'https://www.semanticscholar.org/author/Anna-Woo/153633824']"
2020,One-way prototypical networks,6/3/2019,['https://www.semanticscholar.org/paper/One-Way-Prototypical-Networks-Kruspe/fc68e22bdb22715408d6d45e3ce4ddc42f687a75'],['https://www.semanticscholar.org/author/Anna-Kruspe/2728234']
2020,FLUID FLOW MASS TRANSPORT FOR GENERATIVE NETWORKS,9/25/2019,['https://www.semanticscholar.org/paper/Fluid-Flow-Mass-Transport-for-Generative-Networks-Lin-Lensink/740c8180f626c64718e87c8a2521b7fd7a4ae52b'],"['https://www.semanticscholar.org/author/Keegan-Lensink/115069909', 'https://www.semanticscholar.org/author/Jingrong-Lin/4925008', 'https://www.semanticscholar.org/author/Eldad-Haber/145761833']"
2020,Improving Model Compatibility of Generative Adversarial Networks by Boundary Calibration,9/25/2019,['https://www.semanticscholar.org/paper/Improving-Model-Compatibility-of-Generative-by-Chen-Li/2af664abedc3d20d29b3269cd8970d8d9a867c11'],"['https://www.semanticscholar.org/author/Si-An-Chen/27555505', 'https://www.semanticscholar.org/author/Hsuan-Tien-Lin/1798966', 'https://www.semanticscholar.org/author/Chun-Liang-Li/2088535']"
2020,Generative Imputation and Stochastic Prediction,5/22/2019,['https://www.semanticscholar.org/paper/Generative-Imputation-and-Stochastic-Prediction-Kachuee-K%C3%A4rkk%C3%A4inen/19dc932a72bc8384c0bf331eaaec8e1798e7676c'],"['https://www.semanticscholar.org/author/Majid-Sarrafzadeh/1684837', 'https://www.semanticscholar.org/author/Mohammad-Kachuee/48092603', 'https://www.semanticscholar.org/author/Orpaz-Goldstein/49805856', 'https://www.semanticscholar.org/author/Kimmo-K%C3%A4rkk%C3%A4inen/66908398', 'https://www.semanticscholar.org/author/Sajad-Darabi/49159634']"
2020,Denoising Improves Latent Space Geometry in Text Autoencoders,9/25/2019,['https://www.semanticscholar.org/paper/Denoising-Improves-Latent-Space-Geometry-in-Text-Shen-Mueller/d9b78341b36a217953937b9f8b704b544187fb38'],"['https://www.semanticscholar.org/author/Jonas-Mueller/153430733', 'https://www.semanticscholar.org/author/Tianxiao-Shen/3456570', 'https://www.semanticscholar.org/author/Tommi-S.-Jaakkola/35132120', 'https://www.semanticscholar.org/author/Regina-Barzilay/1741283']"
2020,Information-Theoretic Local Minima Characterization and Regularization,9/25/2019,"['https://www.semanticscholar.org/paper/Information-Theoretic-Local-Minima-Characterization-Jia-Su/d24610af7eba985bad7653dc8c2244c5150d31a6', 'https://www.semanticscholar.org/paper/INFORMATION-THEORETIC-LOCAL-MINIMA-CHARAC-Jia-Su/b9445b8ba0b45ccd6eb802a50ee430274cd57f8d']","['https://www.semanticscholar.org/author/Zhiwei-Jia/50323665', 'https://www.semanticscholar.org/author/Hao-Su/71309570']"
2020,Wider Networks Learn Better Features,9/25/2019,['https://www.semanticscholar.org/paper/Wider-Networks-Learn-Better-Features-Gilboa-Gur-Ari/baf61a5d748eb64729fcb271ff8fe3c11d2e61f9'],"['https://www.semanticscholar.org/author/Guy-Gur-Ari/1403749855', 'https://www.semanticscholar.org/author/Dar-Gilboa/32994625']"
2020,GENERALIZATION GUARANTEES FOR NEURAL NETS VIA HARNESSING THE LOW-RANKNESS OF JACOBIAN,9/25/2019,['https://www.semanticscholar.org/paper/GENERALIZATION-GUARANTEES-FOR-NEURAL-NETS-VIA-THE-Oymak-Fabian/66c6eb1c7d3a9038fae3933afe48e5f9d7630653'],"['https://www.semanticscholar.org/author/Samet-Oymak/50407391', 'https://www.semanticscholar.org/author/Mingchen-Li/47629178', 'https://www.semanticscholar.org/author/Zalan-Fabian/143825665', 'https://www.semanticscholar.org/author/Mahdi-Soltanolkotabi/2766123']"
2020,Implicit competitive regularization in GANs,9/25/2019,"['https://www.semanticscholar.org/paper/Implicit-competitive-regularization-in-GANs-Sch%C3%A4fer-Zheng/cabc1340a9fc3226ab1fcce9ad702edd731322d8', 'https://www.semanticscholar.org/paper/I-MPLICIT-COMPETITIVE-REGULARIZATION-IN-GAN-S-Sch%C3%A4fer/c777b2245bddd7071a79c52ff3ecc930f3146485']","['https://www.semanticscholar.org/author/Anima-Anandkumar/2047844', 'https://www.semanticscholar.org/author/Florian-Sch%C3%A4fer/50599591', 'https://www.semanticscholar.org/author/Hongkai-Zheng/1388823889']"
2020,TWO-STEP UNCERTAINTY NETWORK FOR TASKDRIVEN SENSOR PLACEMENT,,['-1'],['-1']
2020,Efficient Content-Based Sparse Attention with Routing Transformers,3/12/2020,['https://www.semanticscholar.org/paper/Efficient-Content-Based-Sparse-Attention-with-Roy-Saffar/fdadfb4b43f41d6b0264423b7deb016ff761c4e9'],"['https://www.semanticscholar.org/author/David-Grangier/2529182', 'https://www.semanticscholar.org/author/Mohammad-Taghi-Saffar/2814161', 'https://www.semanticscholar.org/author/Ashish-Vaswani/40348417', 'https://www.semanticscholar.org/author/Aurko-Roy/39788470']"
