authors_review,authors_links,author_stats
Klaus Greff;Rupesh K. Srivastava;Jürgen Schmidhuber,"['https://www.semanticscholar.org/author/Klaus-Greff/3035541', 'https://www.semanticscholar.org/author/Rupesh-Kumar-Srivastava/2100612', 'https://www.semanticscholar.org/author/J%C3%BCrgen-Schmidhuber/145341374']","[{'Publications': '24', 'h-index': '13', 'Citations': '4,213', 'Highly Influential Citations': '393'}, {'Publications': '34', 'h-index': '12', 'Citations': '4,936', 'Highly Influential Citations': '470'}, {'Publications': '347', 'h-index': '75', 'Citations': '65,496', 'Highly Influential Citations': '8,323'}]"
Jin-Hwa Kim;Kyoung-Woon On;Woosang Lim;Jeonghee Kim;Jung-Woo Ha;Byoung-Tak Zhang,"['-1', '-1', '-1', '-1', '-1', '-1']","[{'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '-1', 'Citations': '-1', 'h-index': '-1', 'Highly Influenced Papers': '-1'}]"
Shuohang Wang;Jing Jiang,"['https://www.semanticscholar.org/author/Shuohang-Wang/2992833', 'https://www.semanticscholar.org/author/Jing-Jiang/144924150']","[{'Publications': '21', 'h-index': '8', 'Citations': '1,104', 'Highly Influential Citations': '212'}, {'Publications': '202', 'h-index': '32', 'Citations': '7,075', 'Highly Influential Citations': '794'}]"
Yaniv Taigman;Adam Polyak;Lior Wolf,"['https://www.semanticscholar.org/author/Yaniv-Taigman/2188620', 'https://www.semanticscholar.org/author/Adam-Polyak/33964593', 'https://www.semanticscholar.org/author/Lior-Wolf/145128145']","[{'Publications': '26', 'h-index': '16', 'Citations': '5,820', 'Highly Influential Citations': '563'}, {'Publications': '12', 'h-index': '7', 'Citations': '757', 'Highly Influential Citations': '58'}, {'Publications': '199', 'h-index': '45', 'Citations': '13,974', 'Highly Influential Citations': '1,634'}]"
Hakan Inan;Khashayar Khosravi;Richard Socher,"['https://www.semanticscholar.org/author/Hakan-Inan/2901820', 'https://www.semanticscholar.org/author/Khashayar-Khosravi/2308992', 'https://www.semanticscholar.org/author/Richard-Socher/2166511']","[{'Publications': '11', 'h-index': '7', 'Citations': '352', 'Highly Influential Citations': '31'}, {'Publications': '14', 'h-index': '5', 'Citations': '417', 'Highly Influential Citations': '52'}, {'Publications': '180', 'h-index': '49', 'Citations': '52,991', 'Highly Influential Citations': '8,889'}]"
Jonathon Cai;Richard Shin;Dawn Song,"['https://www.semanticscholar.org/author/Jonathon-Cai/2350111', 'https://www.semanticscholar.org/author/Richard-Shin/39428234', 'https://www.semanticscholar.org/author/Dawn-Xiaodong-Song/143711382']","[{'Publications': '6', 'h-index': '2', 'Citations': '91', 'Highly Influential Citations': '8'}, {'Publications': '29', 'h-index': '9', 'Citations': '279', 'Highly Influential Citations': '27'}, {'Publications': '396', 'h-index': '100', 'Citations': '43,319', 'Highly Influential Citations': '4,323'}]"
Ishan Durugkar;Ian Gemp;Sridhar Mahadevan,"['https://www.semanticscholar.org/author/Ishan-Durugkar/9571638', 'https://www.semanticscholar.org/author/Ian-Gemp/8616871', 'https://www.semanticscholar.org/author/Sridhar-Mahadevan/1850503']","[{'Publications': '15', 'h-index': '5', 'Citations': '335', 'Highly Influential Citations': '47'}, {'Publications': '25', 'h-index': '4', 'Citations': '256', 'Highly Influential Citations': '26'}, {'Publications': '204', 'h-index': '37', 'Citations': '6,007', 'Highly Influential Citations': '548'}]"
Sanjay Purushotham;Wilka Carvalho;Tanachat Nilanon;Yan Liu,"['https://www.semanticscholar.org/author/Sanjay-Purushotham/144735626', 'https://www.semanticscholar.org/author/Wilka-Carvalho/51913868', 'https://www.semanticscholar.org/author/Tanachat-Nilanon/9736486', 'https://www.semanticscholar.org/author/Yan-Liu/47909587']","[{'Publications': '39', 'h-index': '13', 'Citations': '1,094', 'Highly Influential Citations': '116'}, {'Publications': '4', 'h-index': '3', 'Citations': '110', 'Highly Influential Citations': '17'}, {'Publications': '7', 'h-index': '4', 'Citations': '78', 'Highly Influential Citations': '6'}, {'Publications': '584', 'h-index': '35', 'Citations': '6,219', 'Highly Influential Citations': '503'}]"
Ziang Xie;Sida I. Wang;Jiwei Li;Daniel Lévy;Aiming Nie;Dan Jurafsky;Andrew Y. Ng,"['https://www.semanticscholar.org/author/Ziang-Xie/40548699', 'https://www.semanticscholar.org/author/Sida-I.-Wang/8729431', 'https://www.semanticscholar.org/author/Jiwei-Li/5183779', 'https://www.semanticscholar.org/author/Daniel-L%C3%A9vy/153461979', 'https://www.semanticscholar.org/author/Allen-Nie/21771052', 'https://www.semanticscholar.org/author/Dan-Jurafsky/1746807', 'https://www.semanticscholar.org/author/Andrew-Y.-Ng/34699434']","[{'Publications': '29', 'h-index': '12', 'Citations': '541', 'Highly Influential Citations': '55'}, {'Publications': '17', 'h-index': '12', 'Citations': '1,848', 'Highly Influential Citations': '186'}, {'Publications': '100', 'h-index': '30', 'Citations': '5,787', 'Highly Influential Citations': '835'}, {'Publications': '11', 'h-index': '4', 'Citations': '208', 'Highly Influential Citations': '19'}, {'Publications': '15', 'h-index': '4', 'Citations': '138', 'Highly Influential Citations': '19'}, {'Publications': '309', 'h-index': '76', 'Citations': '29,825', 'Highly Influential Citations': '3,495'}, {'Publications': '289', 'h-index': '114', 'Citations': '102,605', 'Highly Influential Citations': '14,220'}]"
Dustin Tran;Matthew D. Hoffman;Rif A. Saurous;Eugene Brevdo;Kevin Murphy;David M. Blei,"['https://www.semanticscholar.org/author/Dustin-Tran/47497262', 'https://www.semanticscholar.org/author/Matthew-D.-Hoffman/28552618', 'https://www.semanticscholar.org/author/Rif-A.-Saurous/2278009', 'https://www.semanticscholar.org/author/Eugene-Brevdo/2445241', 'https://www.semanticscholar.org/author/Kevin-Murphy/1702318', 'https://www.semanticscholar.org/author/David-M.-Blei/1796335']","[{'Publications': '50', 'h-index': '20', 'Citations': '1,842', 'Highly Influential Citations': '194'}, {'Publications': '94', 'h-index': '29', 'Citations': '8,751', 'Highly Influential Citations': '1,228'}, {'Publications': '31', 'h-index': '15', 'Citations': '2,474', 'Highly Influential Citations': '420'}, {'Publications': '23', 'h-index': '11', 'Citations': '8,188', 'Highly Influential Citations': '929'}, {'Publications': '83', 'h-index': '41', 'Citations': '16,491', 'Highly Influential Citations': '2,323'}, {'Publications': '306', 'h-index': '77', 'Citations': '55,384', 'Highly Influential Citations': '9,343'}]"
